Set	ID	Number	Name	Faction	Type	Glory	Name	Faction	Type	Glory	Description	Glory	ObjType	Restrictions	Set	Status	OrganisedPlay	WUOnline	Forsaken	Restricted	Forsaken (Relic)	Rotated	uFAQ	Tags	HotCount
Shadespire	29	29	Wicked Blade	Garrek's Reavers	Upgrade		Wicked Blade	Garrek's Reavers	Upgrade	-	[:Hex: 1 - :atFury: 3 - :boom: 2] \n If you roll at least one :atCrit: this Attack action has Cleave.	-	-	Arnulf	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	30	30	Awe-Inspiring	Steelheart's Champions	Objective	1	Awe-Inspiring	Steelheart's Champions	Objective	1	Score this immediately if your warband has taken two or more fighters out of action in this phase. *(Able to be scored if you draw this card after the condition was met)*.	1	Surge	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	31	31	Cleanse	Steelheart's Champions	Objective	3	Cleanse	Steelheart's Champions	Objective	3	Score this in an end phase if you hold all objectives *in enemy territory*.	3	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	32	32	Consecrated Area	Steelheart's Champions	Objective	1	Consecrated Area	Steelheart's Champions	Objective	1	Score this in an end phase if  there are no enemy fighters adjacent to your fighters.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	33	33	Eternals	Steelheart's Champions	Objective	3	Eternals	Steelheart's Champions	Objective	3	Score this in the third end phase if none of your fighters are out of action.	3	Third	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	34	34	Immovable Object	Steelheart's Champions	Objective	1	Immovable Object	Steelheart's Champions	Objective	1	Score this in an end phase if  the same friendly fighter has held the same objective at the end of two consecutive action phases.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	35	35	Lightning Strikes	Steelheart's Champions	Objective	1	Lightning Strikes	Steelheart's Champions	Objective	1	Score this immediately if an enemy fighter is taken out of action by a Charge action made by one of your fighters.	1	Surge	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	36	36	Seize Ground	Steelheart's Champions	Objective	1	Seize Ground	Steelheart's Champions	Objective	1	Score this in an end phase if  you hold an objective in enemy territory.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	37	37	Sigmar's Bulwark	Steelheart's Champions	Objective	1	Sigmar's Bulwark	Steelheart's Champions	Objective	1	Score this in an end phase if none of your fighters suffered any damage in the preceding action phase.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	38	38	Slayers of Tyrants	Steelheart's Champions	Objective	1	Slayers of Tyrants	Steelheart's Champions	Objective	1	Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	39	39	Heroic Guard	Steelheart's Champions	Ploy		Heroic Guard	Steelheart's Champions	Ploy	-	Choose a friendly fighter and put them on Guard.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	40	40	Peal of Thunder	Steelheart's Champions	Ploy		Peal of Thunder	Steelheart's Champions	Ploy	-	Choose any enemy fighter and push them one hex in any direction.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	41	41	Righteous Zeal	Steelheart's Champions	Ploy		Righteous Zeal	Steelheart's Champions	Ploy	-	+1 Damage to the first Attack action with a Range of 1 or 2 in the next activation.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	42	42	Sigmarite Wall	Steelheart's Champions	Ploy		Sigmarite Wall	Steelheart's Champions	Ploy	-	Choose two adjacent friendly fighters and put them on Guard.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	43	43	Stormforged Resistance	Steelheart's Champions	Ploy		Stormforged Resistance	Steelheart's Champions	Ploy	-	Friendly fighters cannot be driven back by the first Attack action in the next activation.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	44	44	Stormforged Tactics	Steelheart's Champions	Ploy		Stormforged Tactics	Steelheart's Champions	Ploy	-	In the next activation, you can make the following Reaction. \n **Reaction:** After an enemy fighter's Attack action that fails, choose up to two friendly fighters and push them up to one hex each.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	45	45	Tireless Assault	Steelheart's Champions	Ploy		Tireless Assault	Steelheart's Champions	Ploy	-	**Reaction:** Play this after a friendly fighter's Attack action that fails. That fighter can make another Attack action that targets the same fighter.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	46	46	Undaunted	Steelheart's Champions	Ploy		Undaunted	Steelheart's Champions	Ploy	-	**Reaction:** Play this after an Attack action or ploy that takes a friendly fighter out of action leaving one surviving friendly fighter on the battlefield. Remove all wound tokens from the surviving fighter.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	47	47	Unstoppable Strike	Steelheart's Champions	Ploy		Unstoppable Strike	Steelheart's Champions	Ploy	-	The first Attack action in the next activation gains Cleave.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	48	48	Valiant Attack	Steelheart's Champions	Ploy		Valiant Attack	Steelheart's Champions	Ploy	-	Enemy fighters cannot support the target of the first Attack action in the next activation.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	49	49	Blessed by Sigmar	Steelheart's Champions	Upgrade		Blessed by Sigmar	Steelheart's Champions	Upgrade	-	+1 Wounds.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	50	50	Block	Steelheart's Champions	Upgrade		Block	Steelheart's Champions	Upgrade	-	**Action:** This fighter and all adjacent friendly fighters go on Guard.	-	-	Angharad Brightshield	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	51	51	Brave Strike	Steelheart's Champions	Upgrade		Brave Strike	Steelheart's Champions	Upgrade	-	[:Hex: 1 - :atSmash: 2 - :boom: 2] \n Roll an extra attack dice if there are no adjacent friendly fighters.	-	-	Obryn the Bold	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	52	52	Fatal Riposte	Steelheart's Champions	Upgrade		Fatal Riposte	Steelheart's Champions	Upgrade	-	**Reaction:** During an Attack action that targets this fighter and fails, roll an attack dice. On a roll of :atSmash: or :atCrit: this fighter cannot be driven back and they can make an Attack action. It must target the attacker.	-	-	Severin Steelheart	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	53	53	Heroic Might	Steelheart's Champions	Upgrade		Heroic Might	Steelheart's Champions	Upgrade	-	This fighter's Attack action gains Cleave.	-	-	Severin Steelheart, Obryn the Bold	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	54	54	Heroic Stride	Steelheart's Champions	Upgrade		Heroic Stride	Steelheart's Champions	Upgrade	-	**Reaction:** After an enemy fighter ends their activation within two hexes of this fighter, you can push this fighter one hex.	-	-	Severin Steelheart	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	55	55	Lightning Blade	Steelheart's Champions	Upgrade		Lightning Blade	Steelheart's Champions	Upgrade	-	[:Hex: 2 - :atSmash: 2 - :boom: 1] \n On a critical hit, this Attack action has +1 Damage.	-	-	Severin Steelheart	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	56	56	Lightning Blast	Steelheart's Champions	Upgrade		Lightning Blast	Steelheart's Champions	Upgrade	-	When they make a critical hit, this fighter also inflicts 1 damage on enemy fighters adjacent to the target's hex.	-	-	Obryn the Bold	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	57	57	Righteous Strike	Steelheart's Champions	Upgrade		Righteous Strike	Steelheart's Champions	Upgrade	-	[:Hex: 1 - :atSmash: 3 - :boom: 2] \n **Reaction:** After this Attack action, if it failed and the target was an enemy leader, make this Attack action again.	-	-	Angharad Brightshield	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	58	58	Shield Bash	Steelheart's Champions	Upgrade		Shield Bash	Steelheart's Champions	Upgrade	-	**Reaction:** During an adjacent fighter's Attack action that targets this fighter and fails, this fighter cannot be driven back and you can push their attacker one hex.	-	-	Angharad Brightshield	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	59	59	Battle Without End	Sepulchral Guard	Objective	1	Battle Without End	Sepulchral Guard	Objective	1	*(Errata update)* Score this in an end phase if one or more friendly fighters returned to the battlefield in the preceding action phase, and a friendly fighter had already returned to the battlefield in that phase.	1	End	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	60	60	Claim the City	Sepulchral Guard	Objective	5	Claim the City	Sepulchral Guard	Objective	5	Score this in an end phase if  you hold *every objective*.	5	End	-	Sepulchral Guard expansion	RR-	VVV	V	-	Restricted	-	-	-	-	0
Shadespire	61	61	Fearless in Death	Sepulchral Guard	Objective	1	Fearless in Death	Sepulchral Guard	Objective	1	Score this in an end phase if there is only one friendly fighter on the battlefield.	1	End	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	62	62	March of the Dead	Sepulchral Guard	Objective	2	March of the Dead	Sepulchral Guard	Objective	2	Score this in an end phase if all of your surviving fighters (at least five) made a Move action in the preceding action phase.	2	End	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	63	63	More Able Bodies	Sepulchral Guard	Objective	1	More Able Bodies	Sepulchral Guard	Objective	1	Score this in an end phase if your warband took two or more enemy fighters out of action in the preceding action phase.	1	End	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	64	64	Peerless General	Sepulchral Guard	Objective	3	Peerless General	Sepulchral Guard	Objective	3	Score this in the third end phase if you have four or more surviving fighters, and none are Inspired.	3	Third	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	65	65	Skills Unforgotten	Sepulchral Guard	Objective	1	Skills Unforgotten	Sepulchral Guard	Objective	1	Score this immediately if your leader takes an enemy fighter out of action.	1	Surge	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	66	66	The Invigorated Dead	Sepulchral Guard	Objective	1	The Invigorated Dead	Sepulchral Guard	Objective	1	Score this in the third end phase if all of your surviving fighters (at least three) are Inspired.	1	Third	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	67	67	Undead Swarm	Sepulchral Guard	Objective	1	Undead Swarm	Sepulchral Guard	Objective	1	Score this in an end phase *if each enemy fighter is adjacent to at least two friendly fighters*.	1	End	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	68	68	Bone Shrapnel	Sepulchral Guard	Ploy		Bone Shrapnel	Sepulchral Guard	Ploy	-	**Reaction:** Play this after an Attack action that takes a friendly fighter out of action. The fighter that took them out of action suffers 1 damage.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	69	69	Ceaseless Attacks	Sepulchral Guard	Ploy		Ceaseless Attacks	Sepulchral Guard	Ploy	-	**Reaction:** Play this after a friendly fighter's Attack action. Make an Attack action with another friendly fighter.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	70	70	Clawing Hands	Sepulchral Guard	Ploy		Clawing Hands	Sepulchral Guard	Ploy	-	Each friendly fighter that is not on the battlefield is considered to be supporting the first Attack action in the next activation.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	71	71	Danse Macabre	Sepulchral Guard	Ploy		Danse Macabre	Sepulchral Guard	Ploy	-	Any friendly fighters that make a Move action in the next activation can move one additional hex.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	72	72	Grasping Hands	Sepulchral Guard	Ploy		Grasping Hands	Sepulchral Guard	Ploy	-	Reduce the Move characteristic of the first fighter to be activated in the next activation by the number of friendly fighters that are not on the battlefield, to a minimum of 0.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	73	73	Restless Dead	Sepulchral Guard	Ploy		Restless Dead	Sepulchral Guard	Ploy	-	**Place** one friendly fighter that is out of action, other than the Sepulchral Warden, on a **starting** hex in your territory. **Give** that fighter one Raise counter.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	74	74	Spectral Form	Sepulchral Guard	Ploy		Spectral Form	Sepulchral Guard	Ploy	-	Any friendly fighters that make a Move action in the next activation can move through additional fighters, but must end their moves on empty hexes.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	75	75	Swift Evasion	Sepulchral Guard	Ploy		Swift Evasion	Sepulchral Guard	Ploy	-	Choose one friendly fighter and push them up to two hexes. Their new position must be further away from all enemy fighters.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	76	76	Terrifying Screams	Sepulchral Guard	Ploy		Terrifying Screams	Sepulchral Guard	Ploy	-	Choose an enemy fighter and push them one hex.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	77	77	The Necromancer Commands	Sepulchral Guard	Ploy		The Necromancer Commands	Sepulchral Guard	Ploy	-	**Reaction:** Play this after a friendly fighter's Attack action that fails. Make the Attack action again.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	78	78	Ancient Commander	Sepulchral Guard	Upgrade		Ancient Commander	Sepulchral Guard	Upgrade	-	*(Errata update)* **Action:** Choose three other friendly fighters that have no Move or Charge tokens. Make one Move action with each of the chosen fighters.	-	-	The Sepulchral Warden	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	79	79	Assumed Command	Sepulchral Guard	Upgrade		Assumed Command	Sepulchral Guard	Upgrade	-	Each friendly fighter that supports this fighter is considered to be two supporting fighters.	-	-	The Prince of Dust	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	80	80	Deathly Charge	Sepulchral Guard	Upgrade		Deathly Charge	Sepulchral Guard	Upgrade	-	This fighter's Attack actions with a Range of 1 or 2 have +1 Damage in a phase in which they make a Charge action.	-	-	The Champion	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	81	81	Fatal Strike	Sepulchral Guard	Upgrade		Fatal Strike	Sepulchral Guard	Upgrade	-	[:Hex: 1 - :atSmash: 2 - :boom: 2] \n**Reaction:** Make this Attack action during an Attack action that takes this fighter out of action, before they are removed from the battlefield. It must target their attacker.	-	-	The Champion	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	82	82	Focused Attack	Sepulchral Guard	Upgrade		Focused Attack	Sepulchral Guard	Upgrade	-	[:Hex: 1 - :atSmash: 2 - :boom: 2] \n If you roll at least one :atCrit: this Attack action has Cleave.	-	-	The Harvester	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	83	83	Frightening Speed	Sepulchral Guard	Upgrade		Frightening Speed	Sepulchral Guard	Upgrade	-	+2 Move.	-	-	The Harvester, The Champion, The Prince of Dust	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	84	84	Grim Cleave	Sepulchral Guard	Upgrade		Grim Cleave	Sepulchral Guard	Upgrade	-	This fighter's Attack actions gain Cleave.	-	-	The Harvester	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	85	85	Lethal Lunge	Sepulchral Guard	Upgrade		Lethal Lunge	Sepulchral Guard	Upgrade	-	[:Hex: 2 - :atSmash: 2 - :boom: 3 -(Cleave)-]	-	-	The Sepulchral Warden 	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	86	86	Remembered Shield	Sepulchral Guard	Upgrade		Remembered Shield	Sepulchral Guard	Upgrade	-	This fighter's Defence characteristic changes to :dfBlock:.	-	-	The Sepulchral Warden, The Prince of Dust, Petitioners	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	87	87	Undying	Sepulchral Guard	Upgrade		Undying	Sepulchral Guard	Upgrade	-	+1 Wounds.	-	-	-	Sepulchral Guard expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	88	88	'Ard as Iron	Ironskull's Boyz	Objective	3	'Ard as Iron	Ironskull's Boyz	Objective	3	Score this in the third end phase if none of your fighters are out of action.	3	Third	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	89	89	Biggest an' da Best	Ironskull's Boyz	Objective	1	Biggest an' da Best	Ironskull's Boyz	Objective	1	Score this in an end phase if your leader took an enemy fighter out of action in the preceding action phase.	1	End	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	90	90	Call of the Waaagh!	Ironskull's Boyz	Objective	1	Call of the Waaagh!	Ironskull's Boyz	Objective	1	Score this immediately if three or more of your fighters made a Charge action this phase. *(Able to be scored if you draw this card after the condition was met)*.	1	Surge	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	91	91	Dead Kunnin'	Ironskull's Boyz	Objective	1	Dead Kunnin'	Ironskull's Boyz	Objective	1	Score this immediately if a friendly fighter has two more supporting fighters than their target when making an Attack action.	1	Surge	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	92	92	Dere's More of Us	Ironskull's Boyz	Objective	1	Dere's More of Us	Ironskull's Boyz	Objective	1	Score this in an end phase if you have more fighters on the battlefield than *your opponent*.	1	End	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	93	93	Get Da Boss	Ironskull's Boyz	Objective	1	Get Da Boss	Ironskull's Boyz	Objective	1	Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase.	1	End	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	94	94	Good Scrap	Ironskull's Boyz	Objective	2	Good Scrap	Ironskull's Boyz	Objective	2	Score this in an end phase if *three or more fighters* were taken out of action in the preceding action phase.	2	End	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	95	95	Punch-Up	Ironskull's Boyz	Objective	2	Punch-Up	Ironskull's Boyz	Objective	2	Score this in an end phase if each of your surviving fighters (at least two) made an Attack action against a different enemy fighter in the preceding action phase.	2	End	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	96	96	Too Dumb to Die	Ironskull's Boyz	Objective	1	Too Dumb to Die	Ironskull's Boyz	Objective	1	Score this immediately if a friendly fighter suffers 3 or more damage in a single attack and is not take out of action.	1	Surge	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	97	97	'Avin' a Good Time	Ironskull's Boyz	Ploy		'Avin' a Good Time	Ironskull's Boyz	Ploy	-	Choose a fighter and roll an attack dice. If you roll a :atSmash: or :atCrit: the can make an Attack action.	-	-	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	98	98	Brutal But Kunnin'	Ironskull's Boyz	Ploy		Brutal But Kunnin'	Ironskull's Boyz	Ploy	-	**Reaction:** Play this after a friendly fighter's Attack action. You can push that fighter up to three hexes.	-	-	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
Shadespire	99	99	Deafening Bellow	Ironskull's Boyz	Ploy		Deafening Bellow	Ironskull's Boyz	Ploy	-	Choose an enemy fighter adjacent to one of your fighters. Push that fighter one hex.	-	-	-	Ironskull's Boyz expansion	-	VVV	V	-	-	-	-	-	-	0
